##[["GX taxonomy analysis report", 3, 1], {"git-rev": "v0.5.4-5-g5dfd516", "run-date": "Thu Oct 24 15:34:01 2024", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.273788, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "species": "Onthophagus binodis", "genome-hash": "b8dd53a4ef8ac208"}}]
#seq-id	seq-len	(xp,lc,co,n,mt,pt,pm)-len	cvg-by-all	sep1	tax-name-1	tax-id-1	div-1	cvg-by-div-1	cvg-by-tax-1	score-1	sep2	tax-id-2	div-2	cvg-by-div-2	cvg-by-tax-2	score-2	sep3	tax-id-3	div-3	cvg-by-div-3	cvg-by-tax-3	score-3	sep4	tax-id-4	div-4	cvg-by-div-4	cvg-by-tax-4	score-4	sep5	reserved	result	div	div_pct_cvg
ptg000001l~~1..3702382	3702382	2193857,101097,3880,0,0,0,0	928389	|	Onthophagus taurus	166361	anml:insects	796136	600417	2358	|	743375	anml:insects	796136	13539	370	|	27687	anml:fishes	39794	5815	119	|	6549	anml:molluscs	36263	7712	116	|	n/a	repeat	anml:insects	22
ptg000001l~~3702383..3704499	2117	0,0,0,0,0,0,0	1256	|	Microsporidium sp. FI-F-10	2732488	fung:microsporidians	1256	1256	51	|	166361	anml:insects	83	83	8	|						|						|	n/a	contaminant(div)	fung:microsporidians	59
ptg000001l~~3704500..8052697	4348198	2706795,12600,3720,0,0,0,0	1049251	|	Onthophagus taurus	166361	anml:insects	900077	679080	2399	|	2921223	anml:insects	900077	32841	357	|	13397	anml:fishes	32134	13467	129	|	96803	anml:crustaceans	26765	3591	115	|	n/a	repeat	anml:insects	21
ptg000001l~~8052698..8056870	4173	0,0,0,0,0,0,0	4019	|	Encephalitozoon hellem	907965	fung:microsporidians	4019	3723	120	|	876142	fung:microsporidians	4019	3653	118	|	1123275	prok:spirochetes	800	800	41	|	329046	fung:chytrids	497	497	36	|	n/a	contaminant(div)	fung:microsporidians	96
ptg000001l~~8056871..9034079	977209	507017,11998,980,0,0,0,0	257621	|	Onthophagus taurus	166361	anml:insects	213939	150280	1012	|	50390	anml:insects	213939	16075	217	|	27687	anml:fishes	9985	4788	115	|	1178016	fung:microsporidians	8064	4819	103	|	n/a	repeat	anml:insects	22
ptg000001l~~9034080..9037377	3298	533,0,260,0,0,0,0	2643	|	Brassica napus	3708	plnt:plants	1907	863	32	|	3694	plnt:plants	1907	701	30	|	392764	anml:rotifers	576	576	28	|	10228	anml:basal metazoans	349	349	24	|	n/a	inconclusive	plnt:plants	58
ptg000001l~~9037378..9480766	443389	265580,530,0,0,0,0,0	96696	|	Onthophagus taurus	166361	anml:insects	79586	46770	511	|	609295	anml:insects	79586	4426	235	|	2767002	fung:chytrids	5128	5128	79	|	27687	anml:fishes	5449	2547	78	|	n/a	repeat	anml:insects	18
ptg000001l~~9480767..9482812	2046	0,0,0,0,0,0,0	1822	|	Encephalitozoon hellem	907965	fung:microsporidians	1822	1575	77	|	1178016	fung:microsporidians	1822	1619	75	|	166361	anml:insects	93	93	10	|						|	n/a	contaminant(div)	fung:microsporidians	89
ptg000001l~~9482813..14106251	4623439	2492189,13711,2600,0,0,0,0	1218011	|	Onthophagus taurus	166361	anml:insects	1030503	773180	2537	|	170555	anml:insects	1030503	14946	380	|	260995	anml:amphibians	20599	14984	254	|	35005	anml:reptiles	27687	10474	207	|	n/a	repeat	anml:insects	22
ptg000001l~~14106252..14108347	2096	461,0,40,0,0,0,0	2025	|	Austropuccinia psidii	181123	fung:basidiomycetes	1202	1184	40	|	10195	anml:rotifers	637	637	29	|	71139	plnt:plants	923	607	28	|	50390	anml:insects	538	472	27	|	n/a	inconclusive	fung:basidiomycetes	57
ptg000001l~~14108348..16125531	2017184	1000811,6909,1000,0,0,0,0	534455	|	Onthophagus taurus	166361	anml:insects	469948	374586	1827	|	7048	anml:insects	469948	12126	312	|	27687	anml:fishes	10423	5427	216	|	2943436	anml:tardigrades	2308	2308	206	|	n/a	repeat	anml:insects	23
ptg000001l~~16125532..16128842	3311	0,280,0,0,0,0,0	2392	|	Mesostigma viride	41882	plnt:plants	1416	1416	119	|	2919303	prok:cyanobacteria	1343	1343	98	|	85948	fung:ascomycetes	2166	2166	74	|	4577	plnt:plants	1416	77	19	|	n/a	low-coverage	plnt:plants	43
ptg000001l~~16128843..18204741	2075899	1062022,5858,240,0,0,0,0	567837	|	Onthophagus taurus	166361	anml:insects	501430	398898	1682	|	224129	anml:insects	501430	11053	297	|	13397	anml:fishes	21909	8629	104	|	2743191	anml:echinoderms	9761	8479	102	|	n/a	repeat	anml:insects	24
ptg000001l~~18204742..18208036	3295	465,0,0,0,0,0,0	2951	|	Theobroma cacao	3641	plnt:plants	1899	826	37	|	3888	plnt:plants	1899	839	32	|	178035	anml:insects	964	480	26	|	1774273	prok:CFB group bacteria	527	527	25	|	n/a	inconclusive	plnt:plants	58
ptg000001l~~18208037..18519497	311461	164468,1807,820,0,0,0,0	95215	|	Onthophagus taurus	166361	anml:insects	80489	56405	767	|	610380	anml:insects	80489	3919	238	|	260995	anml:amphibians	4512	4307	87	|	44941	fung:fungi	2798	2798	61	|	n/a	repeat	anml:insects	26
ptg000001l~~18519498..18522210	2713	0,0,0,0,0,0,0	2342	|	Encephalitozoon intestinalis	876142	fung:microsporidians	2342	1874	86	|	1178016	fung:microsporidians	2342	2140	86	|						|						|	n/a	contaminant(div)	fung:microsporidians	86
ptg000001l~~18522211..22509260	3987050	1825083,10579,7000,0,0,0,0	1152316	|	Onthophagus taurus	166361	anml:insects	990810	731034	2829	|	50390	anml:insects	990810	42703	343	|	95602	anml:crustaceans	58533	12674	131	|	72036	anml:crustaceans	58533	8010	129	|	n/a	repeat	anml:insects	25
ptg000001l~~22509261..22513370	4110	0,0,0,0,0,0,0	2500	|	Wolbachia pipientis	955	prok:a-proteobacteria	2184	1439	129	|	2954053	prok:a-proteobacteria	2184	1200	109	|	9483	anml:primates	529	529	24	|	7654	anml:echinoderms	381	381	23	|	n/a	contaminant(div)	prok:a-proteobacteria	53
ptg000001l~~22513371..26748979	4235609	1816501,10420,1040,0,0,0,0	1204019	|	Onthophagus taurus	166361	anml:insects	1033737	815754	2656	|	115357	anml:insects	1033737	24022	312	|	933632	anml:reptiles	9162	3053	197	|	260995	anml:amphibians	11159	4400	195	|	n/a	repeat	anml:insects	24
ptg000001l~~26748980..26751625	2646	0,0,0,0,0,0,0	1985	|	Encephalitozoon hellem	907965	fung:microsporidians	1899	1899	71	|	104421	anml:insects	369	175	15	|	610380	anml:insects	369	94	11	|	88015	anml:crustaceans	49	49	7	|	n/a	contaminant(div)	fung:microsporidians	72
ptg000001l~~26751626..49530603	22778978	13527280,185426,21240,0,0,0,0	4264330	|	Onthophagus taurus	166361	anml:insects	3776786	2765729	5292	|	50390	anml:insects	3776786	169206	756	|	27687	anml:fishes	107919	52308	427	|	6087	anml:basal metazoans	44062	30248	272	|	n/a	repeat	anml:insects	17
ptg000002l~~1..9329008	9329008	3942242,21555,13920,0,0,0,0	2810628	|	Onthophagus taurus	166361	anml:insects	2491233	1828081	3689	|	50390	anml:insects	2491233	109401	585	|	27687	anml:fishes	67071	26449	319	|	6706	anml:crustaceans	48872	7186	192	|	n/a	repeat	anml:insects	27
ptg000002l~~9329009..9332160	3152	0,0,0,0,0,0,0	2535	|	Gouania willdenowi	441366	anml:fishes	1965	1965	54	|	166361	anml:insects	860	860	32	|	1947348	prok:g-proteobacteria	434	434	24	|	1442378	fung:ascomycetes	72	72	9	|	n/a	inconclusive	anml:fishes	62
ptg000002l~~9332161..9805859	473699	204592,1736,1080,0,0,0,0	162382	|	Onthophagus taurus	166361	anml:insects	144705	92064	961	|	50390	anml:insects	144705	14986	227	|	291302	anml:mammals	6616	3248	89	|	72036	anml:crustaceans	2987	2757	76	|	n/a	repeat	anml:insects	31
ptg000002l~~9805860..9808463	2604	476,0,0,0,0,0,0	1894	|	Encephalitozoon romaleae	1178016	fung:microsporidians	1894	1783	77	|	907965	fung:microsporidians	1894	1603	75	|	41139	anml:insects	429	320	20	|	41895	anml:insects	429	81	12	|	n/a	contaminant(div)	fung:microsporidians	73
ptg000002l~~9808464..13524332	3715869	1618098,9075,5540,0,0,0,0	1206610	|	Onthophagus taurus	166361	anml:insects	1080479	798663	2653	|	224129	anml:insects	1080479	37295	425	|	27687	anml:fishes	40085	10388	259	|	96803	anml:crustaceans	35438	7336	154	|	n/a	repeat	anml:insects	29
ptg000002l~~13524333..13526372	2040	715,0,0,0,0,0,0	2000	|	Arachis hypogaea	3818	plnt:plants	1999	1999	52	|	1729975	anml:nematodes	640	640	27	|	7604	anml:echinoderms	279	279	19	|						|	n/a	contaminant(div)	plnt:plants	98
ptg000002l~~13526373..13745495	219123	100177,618,0,0,0,0,0	51493	|	Onthophagus taurus	166361	anml:insects	41602	32794	495	|	2921223	anml:insects	41602	6262	221	|	3818	plnt:plants	5544	5544	89	|	1978547	anml:nematodes	4702	2107	58	|	n/a	repeat	anml:insects	19
ptg000002l~~13745496..13747606	2111	210,0,0,0,0,0,0	1950	|	Halicephalobus mephisto	2559892	anml:nematodes	1929	1334	48	|	1737337	anml:nematodes	1929	595	28	|	673940	fung:ascomycetes	545	545	26	|	7868	anml:fishes	449	449	25	|	n/a	same-kingdom-chimeric	anml:nematodes	91
ptg000002l~~13747607..13749561	1955	112,0,0,0,0,0,0	947	|	Arachis hypogaea	3818	plnt:plants	640	580	31	|	2301260	anml:nematodes	738	502	30	|	2559892	anml:nematodes	738	425	25	|	3847	plnt:plants	640	371	24	|	n/a	low-coverage	plnt:plants	33
