##[["FCS genome report", 2, 1], {"git-rev": "v0.5.4-5-g5dfd516", "run-date": "Thu Oct 24 15:34:01 2024", "db": {"build-date": "2023-01-24", "seqs": 3025824, "Gbp": 709.264}, "run-info": {"agg-cvg": 0.273788, "asserted-div": "anml:insects", "inferred-primary-divs": ["anml:insects"], "corrected-primary-divs": ["anml:insects"], "species": "Onthophagus binodis", "genome-hash": "b8dd53a4ef8ac208"}}]
#seq_id	start_pos	end_pos	seq_len	action	div	agg_cont_cov	top_tax_name
ptg000012l	1	41962	41962	EXCLUDE	prok:a-proteobacteria	84	Amaricoccus macauensis
ptg000013c	1	5078201	5078201	EXCLUDE	prok:g-proteobacteria	97	Enterobacter quasimori
ptg000014c	1	2227766	2227766	EXCLUDE	prok:a-proteobacteria	93	[Ochrobactrum] soli
ptg000019l	1	4751215	4751215	EXCLUDE	prok:CFB group bacteria	86	Dysgonomonas alginatilytica
ptg000022c	1	2809562	2809562	EXCLUDE	prok:CFB group bacteria	88	Moheibacter lacus
ptg000024c	1	5028335	5028335	EXCLUDE	prok:b-proteobacteria	96	Comamonas koreensis
ptg000028l	1	77969	77969	EXCLUDE	prok:CFB group bacteria	90	Niabella yanshanensis
ptg000034l	1	428670	428670	EXCLUDE	prok:firmicutes	90	Enterococcus thailandicus
ptg000037l	1	1182364	1182364	EXCLUDE	prok:a-proteobacteria	88	Brucella cytisi
ptg000039l	1	45946	45946	EXCLUDE	prok:CFB group bacteria	58	Empedobacter sp. UBA5924
ptg000040l	1	104676	104676	EXCLUDE	prok:a-proteobacteria	74	Brucella cytisi
ptg000041c	1	1241267	1241267	EXCLUDE	prok:a-proteobacteria	89	[Ochrobactrum] soli
ptg000042l	1	93846	93846	EXCLUDE	prok:a-proteobacteria	98	Paracoccus alkenifer
ptg000044l	1	107903	107903	EXCLUDE	prok:firmicutes	86	Enterococcus thailandicus
ptg000045l	1	61123	61123	EXCLUDE	prok:a-proteobacteria	89	[Ochrobactrum] soli
ptg000046l	1	66508	66508	EXCLUDE	prok:a-proteobacteria	91	Paracoccus sphaerophysae
ptg000048l	1	320107	320107	EXCLUDE	prok:firmicutes	82	Enterococcus thailandicus
ptg000049l	1	15458	15458	EXCLUDE	prok:CFB group bacteria	100	Niabella yanshanensis
ptg000050l	1	40973	40973	EXCLUDE	prok:firmicutes	72	Enterococcus pallens
ptg000051l	1	209749	209749	EXCLUDE	prok:firmicutes	85	Enterococcus thailandicus
ptg000053l	1	32397	32397	EXCLUDE	prok:CFB group bacteria	85	Niabella yanshanensis
ptg000054l	1	53493	53493	EXCLUDE	prok:a-proteobacteria	100	Brucella haematophila
ptg000055l	1	33103	33103	EXCLUDE	prok:CFB group bacteria	89	Niabella hibiscisoli
ptg000056l	1	197922	197922	EXCLUDE	prok:firmicutes	88	Enterococcus thailandicus
ptg000059l	1	30238	30238	EXCLUDE	prok:CFB group bacteria	95	Dyadobacter luticola
ptg000060l	1	47597	47597	EXCLUDE	prok:CFB group bacteria	100	Dyadobacter luticola
ptg000061l	1	1676392	1676392	EXCLUDE	prok:g-proteobacteria	93	Luteimonas marina
ptg000062l	1	66520	66520	EXCLUDE	prok:g-proteobacteria	60	Serratia liquefaciens
ptg000063l	1	104212	104212	EXCLUDE	prok:a-proteobacteria	97	Paracoccus sanguinis
ptg000064l	1	24826	24826	EXCLUDE	prok:CFB group bacteria	86	Terrimonas ferruginea
ptg000065l	1	248802	248802	EXCLUDE	prok:firmicutes	94	Enterococcus villorum
ptg000066l	1	24162	24162	EXCLUDE	prok:CFB group bacteria	56	Flavobacterium viscosum
ptg000069l	1	85106	85106	EXCLUDE	prok:a-proteobacteria	88	[Ochrobactrum] quorumnocens
